benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,registerGet,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,mapRmv,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,listGetAt,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,listAppend,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,total,0.001724,578.927,100000,0.000000,0.002177
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,listClear,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,mapValue,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,counterGet,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,mapContains,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,setClear,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,counterDec,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,listAdd,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,setContains,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,listRmv,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,setGet,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,listPrepend,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,mapAdd,0.001724,578.927,100000,0.000000,0.002177
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,registerSet,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,listGet,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,counterInc,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,setRmv,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,mapGet,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,setAdd,NaN,0.000,0,NaN,NaN
micro,0,1,true,1,RC,2,crdv-sync,1,100000,1000,1,1,local,sync,mapClear,NaN,0.000,0,NaN,NaN
