benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,total,0.000812,1226.666,66241,0.000000,0.001632
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,mapValue,0.000310,615.488,33237,0.000000,0.000590
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,mapAdd,0.001317,611.179,33004,0.000000,0.001712
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,1,100000,1000,1,1,all,async,listGet,NaN,0.000,0,NaN,NaN
